"","Incident","Location","Reported","Occurred","Comments","Disposition","UCPDI#","latitude","longitude"
"1","Liquor Law Violation","1005 E. 60th St. (Burton-Judson)","11/2/14 12:06 AM","11/2/14 12:06 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Closed","D00956",41.785853,-87.60112
"2","Injured Person","5600 S. Drexel (Stagg Field)","11/2/14 10:09 PM","11/2/14 10:05 PM","Individual injured left ankle while playing football / Transported to ER by CFD EMS","Closed","D00957",41.793183,-87.603785
"3","Information / Vehicle Crash","6000 S. Woodlawn","10/31/14 9:16 AM","10/31/14 9:16 AM","Shuttle Bus struck UC owned vehicle while making a turn / No injuries reported / MVA00311","Closed","D00951",41.785079,-87.596387
"4","Theft","5640 S. University (Bartlett Commons)","10/31/14 12:29 PM","10/30/14 2:00 PM to 2:15 PM","Laptop computer taken from unattended back pack placed under a table in the dinning room","Open","D00952",41.792504,-87.59818
"5","Information","5900 S. Woodlawn","10/31/14 2:41 PM","10/31/14 2:41 PM","Tree limb fell during windstorm striking two unattended vehicles parked on the street","Closed","D00953",41.786014,-87.596331
"6","Information","6420 S. University (Woodlawn Charter School)","10/31/14 2:53 PM","10/31/14 1:30 PM to 3:00 PM","Handgun found in student's locker in school / CPD took five individuals into custody for investigation / CPD case","CPD","D00954",41.779233,-87.597228
"7","Liquor Law Violation","6031 S. Ellis (SCRH)","10/31/14 11:45 PM","10/31/14 11:45 PM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00955",41.785372,-87.601103
"8","Theft","5735 S. Ellis (Searle Lab)","10/30/14 1:10 PM","10/29/14 to10/30/14 5:30 PM to 10:30 AM","Computer charger taken from desk top in secured 3rd floor lab","Open","D00949",41.790754,-87.601212
"9","Mental Health Transport","5758 S. Maryland (DCAM)","10/30/14 5:47 PM","10/30/14 5:47 PM","Individual transported to Jackson Park Hospital for mental evaluation","Closed","D00950",41.790253,-87.605016
"10","Information","5706 S. University (Reynolds Club)","10/29/14 12:07 AM","10/28/14 to 10/29/14 11:50 PM to 12:05 AM","A group of individuals marking area with chalk was dispersed","Closed","D00947",41.791316,-87.598148
"11","Theft","5230 S. Lake Park","10/29/14 2:55 PM","10/29/14 2:55 PM","UCPD officer arrested an individual who had taken merchandise from a retail establishment without paying","Arrest","D00948",41.80041,-87.587475
"12","Information","6054 S. Drexel","10/28/14 12:09 PM","10/10/14 to 10/14/14 9:00 AM to 5:00 PM","Investigation of suspicious telephone calls","Open","D00941",41.784763,-87.604481
"13","Theft","5848 S. University (Green Hall)","10/28/14 3:05 PM","10/28/14 12:40 PM to 3:00 PM","Unattended back pack placed under desk in unsecured room taken by an unknown person","Open","D00942",41.788714,-87.598089
"14","Found Suspect Narcotics","5730 S. Drexel (Comer Hospital)","10/28/14 4:15 PM","10/28/14 3:30 PM","While cleaning an unoccupied patient room, staff member found a small plastic bag of suspect narcotics / Inventoried at UCPD","Closed","D00943",41.790787,-87.603729
"15","Theft from Motor Vehicle","6000 S. Drexel (Wells Parking Lot)","10/28/14 4:43 PM","10/27/14 to 10/28/14 11:00 PM to 2:00 AM","Unknown person took two packs of cigarettes from an unsecured car parked in the lot","Open","D00944",41.717301,-87.876191
"16","Assist Other Agency","5103 S. Woodlawn","10/28/14 6:31 PM","10/28/14 6:30 PM","UCPD officers detained three suspects that had committed an armed robbery off campus / CPD officers arrested a fourth suspect nearby / Handgun used in commission of the crime and victim's property were recovered / CPD case HX486052","CPD","D00945",41.802337,-87.596631
"17","Information","5700 S. Harper","10/28/14 10:33 PM","10/28/14 7:15 PM to 9:15 PM","Unknown person took bicycle that had been secured to a city street pole off campus / CPD case","CPD","D00946",41.782908,-87.58652
"18","Found Property","5800 S. University (Public Way)","10/27/14 12:19 PM","10/27/14 12:19 PM","A car key was found in the street / Owner located and took possession of key","Closed","D00936",41.44552,-87.670892
"19","Information","6021 S. Cottage Grove (Facilities Services)","10/27/14 1:04 PM","8/29/14 to 10/15/14 8:30 AM to 8:30 AM","Two wooden benches reported missing / One bench located / Apparent inventory problem / No reason to suspect a theft occurred","Closed","D00937",41.785286,-87.60596
"20","Information","6000 S. Stony Island","10/27/14 2:04 PM","10/27/14 2:04 PM","UCPD officers responded to a call of a possible domestic battery / Both individuals involved in verbal dispute, no physical contact / Peace restored","Closed","D00938",41.786142,-87.586595
"21","Domestic Battery","5815 S. Maryland (Mitchell Hospital)","10/27/14 2:17 PM","10/27/14 2:10 PM","Suspect struck girlfriend and fled / Suspect taken into custody by UCPD officers after a brief struggle / Victim declined to press charges / Suspect charged with resisting arrest and assault","Arrest","D00939",41.789267,-87.604888
"22","Robbery","5400 S. Hyde Park (Public Way)","10/27/14 5:44 PM","10/27/14 5:40 PM","Three suspects used force to take book bag from a victim walking on the sidewalk off campus / UCPD officers arrested a suspect and recovered the victim's property","Arrest","D00940",41.798144,-87.584019
"23","Liquor Law Violation","5625 S. Ellis (Max Palevsky)","10/26/14 2:46 AM","10/26/14 2:26 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00932",41.792767,-87.601258
"24","Theft","1212 E. 59th St. (Ida Noyes)","10/26/14 1:51 PM","10/26/14 9:30 AM to 11:30 AM","An unknown person took a glass vase with flowers from the 3rd floor hallway / Vase was located in an adjoining room / Case Unfounded","Unfounded","D00933",41.787881,-87.596225
"25","Non-Criminal Damage to Property","6054 S. Drexel (Parking Structure)","10/26/14 8:06 PM","10/26/14 6:45 PM to 8:00 PM","Scratches observed on the front bumper of a University owned vehicle / Cause unknown","Closed","D00934",41.784763,-87.604481
"26","Information","Kenwood at 52nd St.","10/26/14 7:45 PM","10/26/14 7:40 PM","Two unknown suspects, one armed with a handgun, took cash and a backpack from a victim walking on the sidewalk off campus / CPD case HX483394","CPD","D00935",41.808374,-87.593778
"27","Liquor Law Violation","5700 S. University (Shuttle Bus)","10/25/14 1:33 AM","10/25/14 1:33 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00928",41.791429,-87.598075
"28","Liquor Law Violation","5630 S. University (Max Palevsky)","10/25/14 2:20 AM","10/25/14 2:20 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00929",41.792689,-87.598183
"29","Liquor Law Violation","1101 E. 56th St. (Max Palevsky)","10/25/14 2:58 AM","10/25/14 2:58 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00930",41.793162,-87.599087
"30","Found Property","5800 S. Dorchester","10/25/14 8:36 AM","10/25/14 8:36 AM","Wallet found on the public way was turned over to UCPD for safekeeping","Closed","D00931",39.078176,-89.885675
"31","Theft from Motor Vehicle","6000 S. Drexel (Wells Parking Lot)","10/24/14 10:44 AM","10/23/14 to 10/24/14 4:30 PM to 8:15 AM","Unknown person forced entry to a parked, unattended UC Facilities truck and took 8 sink valves","Open","D00926",41.717301,-87.876191
"32","Found Property","1600 E. Midway Pl.","10/24/14 4:50 PM","10/24/14 4:40 PM","Toshiba laptop found on the public way / Inventoried at UCPD for safekeeping","Closed","D00927",40.560601,-89.61115
"33","Theft","5840 S. Kenwood (Lab School)","10/23/14 9:49 AM","10/22/14 9:00 AM to 5:00 PM","Unattended iPhone left in classroom taken by an unknown person","Open","D00920",41.789383,-87.593238
"34","Theft","5815 S. Maryland (Mitchell Hospital)","10/23/14 12:16 PM","10/22/14 12:00 PM to 1:30 PM","Unattended, unsecured cash taken from patient's room","Open","D00921",41.789267,-87.604888
"35","Criminal Trespass to Vehicle","1010 E. 55th St.","10/23/14 11:15 AM","10/23/14 11:15 AM","Individual driving a stolen vehicle attempted to elude police struck two parked cars / Subject arrested by UCPD officer","Arrest","D00922",41.795093,-87.601062
"36","Theft from Motor Vehicle","1427 E. 60th St. (Press Bldg. Parking Lot)","10/23/14 4:40 PM","10/23/14 2:00 PM to 4:20 PM","Unattended cell phone taken from cab of delivery truck","Open","D00924",41.786105,-87.590342
"37","Liquor Law Violation","1005 E. 60th St. (Burton-Judson)","10/23/14 11:35 PM","10/23/14 11:35 PM","Underage individual became ill after consuming alcoholic beverages / Transported to the ER by CFD EMS","Referred","D00925",41.785853,-87.60112
"38","Theft","950 E. 59th St. (Billings Hospital)","10/22/14 11:29 AM","10/22/14 9:58 AM to 10:00 AM","Keys left in door lock were taken by an unknown person","Open","D00917",41.787809,-87.602682
"39","Theft","5758 S. Maryland (DCAM Caf<U+653C><U+3E39>)","10/22/14 3:48 PM","10/22/14 1:00 PM to 3:00 PM","Unknown person took unattended iPad and miscellaneous papers / Subsequent to investigation, the suspect was identified / Property was returned to the owner / Victim refused to prosecute","Ex. Cleared","D00918",41.790253,-87.605016
"40","Aggravated Battery","901 E. 58th St. (Mitchell ER)","10/22/14 7:48 PM","10/22/14 7:45 PM","Patient threw a syringe at staff member striking the victim in the hand / Suspect arrested by UCPD / Charged with Aggravated Battery on 10/23/14","Arrest","D00919",41.912085,-87.640506
"41","Lost Property","56th & Drexel","10/21/14 5:10 PM","10/13/14 to 10/18/14 9:00 AM to 9:00 AM","Person reports losing wallet somewhere in the area of 56th & Drexel","Closed","D00916",41.801379,-87.606377
"42","Medical Call","5530 S. Ellis (Ratner A.C.)","10/20/14 3:48 PM","10/20/14 3:45 PM","Person injured left arm while lifting weights in gym / Transported to ER by CFD EMS","Closed","D00914",41.794467,-87.601449
"43","Non-Criminal / Weapon Turn-In","1442 E. 59th St. (Breckenridge)","10/20/14 9:56 PM","10/20/14 9:56 PM","Weapon was turned over to UCPD for destruction","Closed","D00915",41.787791,-87.590143
"44","Liquor Law Violation","6000 S. Ellis (Public Way)","10/19/14 10:54 PM","10/19/14 10:50 PM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00913",41.785927,-87.601191
"45","Non-Criminal Damage to Property","970 E. 58th St. (Bookstore)","10/18/14 8:37 AM","10/17/14 to 10/18/14 6:30 PM to 8:00 AM","Front door of store damaged / Cause unknown at this time","Closed","D00911",41.789544,-87.603363
"46","Assist Other Agency","5340 S. Cornell","10/18/14 4:53 PM","10/18/14 4:50 PM","UCPD officer assisting CPD recovered a handgun discarded by suspect / Weapon turned over to CPD / Suspect arrested and charged / CPD case HX472872","CPD","D00912",41.805842,-87.586551
"47","Robbery","5400 S. Kimbark (Public Way)","10/16/14 11:36 AM","10/16/14 11:36 AM","Three suspects used force to take a cell phone from a victim walking on the street off campus / Suspects also grabbed a cell phone from the hand of a witness standing nearby / UCPD officers arrested the three suspects and recovered the victims' cell phones","Arrest","D00909",41.798006,-87.594991
"48","Information","5400 S. Greenwood","10/16/14 7:45 PM","10/16/14 7:40 PM","A victim walking on the sidewalk off campus was pushed to the ground by two suspects who took the victim's iPhone and cash before fleeing on foot / CPD case HX470423","CPD","D00910",41.79795,-87.599708
"49","Theft","970 E. 58th St. (Bookstore)","10/15/14 12:06 PM","10/15/14 11:45 AM","Two unknown suspects took several text books from the bookstore without paying / The suspects were identiifed through follow up investigation / Complainant declined to prosecute / Exceptionally Cleared","Ex. Cleared","D00907",41.789544,-87.603363
"50","Theft","969 E. 60th St. (SSA)","10/15/14 4:48 PM","10/15/14 2:50 PM to 3:00 PM","Cell phone left unattended in first floor washroom taken by an unknown person","Open","D00908",41.785843,-87.602139
"51","Assist Other Agency","1453 E. 53rd St.","10/14/14 4:27 PM","10/14/14 4:27 PM","UCPD officers located and detained a retail theft suspect / Turned over to CPD","CPD","D00904",41.799455,-87.590084
"52","Assist Other Agency","825 E. 52nd St. (Alley)","10/14/14 7:29 PM","10/14/14 7:25 PM","UCPD officers responding to a call of shots fired, located and detained a suspect after a brief foot chase / Discarded weapon recovered / Suspect also charged with possession of marijuana / Suspect, weapon and marijuana turned over to CPD / CPD case  HX467828","CPD","D00906",41.80002,-87.589074
"53","Theft","924 E. 57th St. (Pritzker School Bike Rack)","10/13/14 1:25 PM","10/13/14 12:30 PM to 1:20 PM","Secured bicycle taken from bike rack","Open","D00901",41.941749,-87.653548
"54","Theft","5730 S. Ellis (Crerar Bike Rack)","10/13/14 3:19 PM","10/10/14 11:45 AM to 4:30 PM","Seat taken from bicycle secured to bike rack","Open","D00902",41.790827,-87.601364
"55","Theft","5700 S. Maryland (CCD)","10/13/14 8:44 PM","10/13/14 6:00 AM to12:00 PM","Wallet taken from purse left unattended in unsecured room","Open","D00903",42.003129,-89.549033
"56","Domestic Battery","5730 S. Drexel (Comer)","10/11/14 3:18 AM","10/11/14 3:00 AM","Girlfriend struck boyfriend during the course of a dispute / Arrest by UCPD","Arrest","D00899",41.790787,-87.603729
"57","Assist Other Agency","1539 E. 53rd St.","10/11/14 3:30 PM","10/11/14 3:30 PM","UCPD officers detained an individual who had taken merchandise from a retail establishment without paying / Turned over to CPD / CPD case HX463832","CPD","D00900",41.799563,-87.58731
"58","Theft","1155 E. 60th St. (Harris School)","10/10/14 10:25 AM","10/9/14 12:00 PM to 2:00 PM","Unknown person took a credit card from a wallet left unattended in an unsecured cubicle / Subsequent unauthorized use of credit card reported","Open","D00898",41.785889,-87.597571
"59","Theft","970 E. 58th St. (Bookstore)","10/9/14 11:11 AM","10/7/14 1:20 PM","Store staff notified UCPD of a suspect seen two days prior taking merchandise from the store without paying","Open","D00897",41.789544,-87.603363
"60","Theft","5758 S. Maryland (DCAM Caf<U+653C><U+3E39>)","10/8/14 10:27 AM","10/8/14 10:10 AM","Unknown person took wallet from purse in caf,"Open","D00894",41.790253,-87.605016
"61","Information / Traffic Crash","5700 S. Maryland","10/8/14 10:38 AM","10/8/14 10:38 AM","UC owned vehicle involved in crash with fixed object / Property damage only / No injuries reported / MVA00297","Closed","D00895",42.003129,-89.549033
"62","Possession of Narcotics","5700 S. Maryland (CCD)","10/8/14 8:33 PM","10/8/14 8:10 PM","UCPD officers arrested an individual for felony possession  of a controlled substance and possession of cannabis","Arrest","D00896",42.003129,-89.549033
"63","Theft","5758 S. Maryland (DCAM)","10/7/14 1:21 PM","9/23/14 to 10/3/14 12:00 PM to 2:00 PM","Staff member reports unknown person took prescription pad","Open","D00889",41.790253,-87.605016
"64","Information","6300 S. Woodlawn","10/7/14 7:32 PM","10/5/14 to 10/7/14 9:00 AM to 7:30 PM","Individual had taken property without authorization / Property was returned to owner / No charges filed","Closed","D00890",41.780521,-87.596204
"65","Medical Call","5530 S. Ellis (Ratner A.C.)","10/7/14 10:39 PM","10/7/14 10:39 PM","Ill person transported to ER by CFD EMS","Closed","D00891",41.794467,-87.601449
"66","Warrant Arrest","6300 S. University","10/7/14 11:17 PM","10/7/14 11:17 PM","Subsequent to a traffic violation a passenger in the vehicle was arrested by UCPD officers for a warrant issued in Kane County, IL","Arrest","D00892",41.780509,-87.597245
"67","Theft","5700 S. Maryland (CCD)","10/7/14 11:39 PM","10/7/14 7:00 PM to 11:30 PM","Cash and credit cards taken from two unsecured lockers in staff locker room","Open","D00893",42.003129,-89.549033
"68","Found Suspect Marijuana","1414 E. 59th St. (I-House)","10/6/14 1:55 PM","10/2/14 12:00 PM","Staff member found suspect marijuana in desk drawer of recently vacated room / Turned over to UCPD","Closed","D00888",41.787933,-87.591008
"69","Liquor Law Violation","6031 S. Ellis (SCRH)","10/4/14 12:42 AM","10/4/14 12:42 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00885",41.785372,-87.601103
"70","Assist Other Agency","5112 S. Woodlawn","10/4/14 12:40 PM","10/4/14 12:40 PM","UCPD officer detained a theft suspect / Turned over to CPD / CPD case HX454926","CPD","D00886",41.802187,-87.596778
"71","Liquor Law Violation","1144 E. 59th St. (Winter Garden)","10/3/14 2:41 AM","10/3/14 2:40 AM","Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00880",41.840158,-87.655037
"72","Information","951 E. 58th St. (Abbott Hall)","10/3/14 8:11 AM","10/2/14 to 10/3/14 6:30 PM to 7:50 AM","Staff member found lab door unsecured and some drawers appeared to have been disturbed","Closed","D00881",41.729396,-87.629328
"73","Information","Stony Island between 56th & 57th","10/3/14 8:55 AM","9/29/14 to 10/1/14 3:15 PM to 4:00 PM","Individual reported suspicious activity","Closed","D00882",41.747847,-87.585448
"74","Theft","5812 S. Ellis (Surgery Brain Research)","10/2/14 10:08 AM","10/1/14 11:30 AM to 12:00 PM","Unknown person took credit card, debit card and UC ID from an unattended purse in an office","Open","D00873",41.789338,-87.601332
"75","Information","950 E. 59th St. (Billings Hospital)","10/1/14 5:29 PM","10/1/14 2:00 PM to 4:00 PM","Cell phone taken from charger in secured office / Reported to CPD","CPD","D00874",41.787809,-87.602682
"76","Theft from Person","5900 S. Woodlawn","10/2/14 7:28 PM","10/2/14 7:05 PM","Unknown person took wallet from the rear pocket of a victim walking on the sidewalk","Open","D00875",41.786014,-87.596331
"77","Mental Health Transport","1642 E. 56th St.","10/2/14 7:42 PM","10/2/14 7:42 PM","Disturbed person transported to the hospital by CFD EMS for mental evaluation","Closed","D00876",41.793478,-87.585008
"78","Theft","5730 S. Drexel (Comer ER)","10/2/14 11:09 PM","10/2/14 5:30 PM to 11:05 PM","Unknown person took unattended leather waist bag from table in nurse's station","Open","D00878",41.790787,-87.603729
"79","Theft","5730 S. Drexel (Comer ER)","10/2/14 11:44 PM","10/2/14 11:30 PM to 11:40 PM","Unknown person took cash from bag left unattended in Neo-Natal Care Unit","Open","D00879",41.790787,-87.603729
"80","Theft","5721 S. Maryland (Comer)","10/1/14 11:07 AM","10/1/14 6:30 AM to 10:50 AM","Laptop computer taken from book bag left unattended in 5th floor locker room","Open","D00869",41.790944,-87.604874
"81","Lost Property","6025 S. Ellis (Dining Hall)","10/1/14 3:16 PM","9/29/14 6:00 PM to 7:30 PM","Individual lost a laptop in the dining hall or on a south campus shuttle bus","Closed","D00870",41.793801,-87.714596
"82","Theft","5845 S. Ellis (Gates Hall Bike Rack)","10/1/14 7:33 PM","10/1/14 11:00 AM to 7:00 PM","Secured bicycle taken from bike rack","Open","D00871",41.788748,-87.601171
"83","Assist Other Agency","5630 S. Lake Park (Metra Platform)","10/1/14 9:53 PM","10/1/14 9:50 PM","A group of  suspects struck victim with their fists / UCPD officer checking the platform observed the incident and suspects fled / Two suspects arrested by UCPD and CPD officers after a brief chase / CPD case HX451640 / Victim transported to ER by CFD EMS for examination","CPD","D00872",41.795184,-87.587507
"84","Theft","5747 S. Ellis (Jones Lab Bike Rack)","9/30/14 11:27 AM","9/30/14 11:15 AM to 11:20 AM","Unknown person took secured bicycle from bike rack","Open","D00863",41.790529,-87.601209
"85","Information / Traffic Crash","5422 S. Ingleside","9/30/14 3:20 PM","9/30/14 3:30 AM","UC Shuttle bus involved in property damage accident / No injuries reported / MVA00295","Closed","D00864",42.372149,-88.14969
"86","Theft","5530 S. Ellis (Ratner Bike Rack)","9/30/14 7:36 PM","9/30/14 7:30 AM to 5:30 PM","Secured bicycle taken from bike rack","Open","D00865",41.794467,-87.601449
"87","Information","5530 S. Ellis (Ratner Bike Rack)","9/30/14 7:00 PM","9/30/14 6:55 PM","UCPD officers observed individual tampering with bicycle in the bike rack / Individual issued a trespass warning and sent on his way","Closed","D00866",41.794467,-87.601449
"88","Lost Property","Unknown Location","9/30/14 7:31 PM","9/22/14 to 9/29/14 12:00 AM to 7:30 PM","Individual reports loss of UC ID card","Closed","D00867",41.850033,-87.650052
"89","Information / Traffic Crash","1121 E. 57th St.","9/30/14 10:36 PM","9/30/14 10:35 PM","UC Shuttle bus struck UC owned vehicle / Property damage only / No injuries reported","Closed","D00868",41.791348,-87.598551
"90","Non-Criminal / Property","5610 S. Drexel (Child Development Center)","9/29/14 6:39 AM","9/26/14 to 9/29/14 6:15 PM to 6:30 AM","Flower planter moved and dirt smeared on front entrance door","Closed","D00858",41.792995,-87.603857
"91","Theft from Motor Vehicles","5608 S. Stony Island (Facilities Dept.)","9/29/14 7:42 AM","9/26/14 to 9/29/14 1:30 AM to 6:45 AM","Unknown person(s) took tools and equipment from three vans in the parking lot","Open","D00859",41.793234,-87.586717
"92","Battery","901 E. 58th St. (Mitchell ER)","9/29/14 7:00 PM","9/29/14 6:45 PM","Patient slapped wrist of staff member / Victim declined prosecution","Ex Cleared","D00860",41.912085,-87.640506
"93","Lost Property","56th between Ellis & University","9/29/14 8:27 PM","9/29/14 7:25 PM to 8:00 PM","Individual lost iPhone","Closed","D00861",41.831196,-87.609555
"94","Information","6054 S. Drexel","9/27/14 7:45 AM","9/15/14 7:30 AM","While driving off campus the windshield of a UC owned vehicle was damaged by an item that fell from a truck","Closed","D00853",41.784763,-87.604481
"95","Found Property","5700 S. Maryland (CCD)","9/27/14 10:00 AM","9/26/14 4:30 PM","A machete found in a black plastic bag in a 7th floor washroom was turned over to UCPD","Closed","D00854",42.003129,-89.549033
"96","Theft","1414 E. 59th St. (I-House Bicycle Room)","9/27/14 10:35 AM","3/26/14 to 9/21/14 12:00 PM to 11:00 AM","Bicycle was taken from the bicycle storage room","Open","D00855",41.787933,-87.591008
"97","Liquor Law Violation","1154 E. 56th St. (Public Way)","9/27/14 10:51 PM","9/27/14 10:51 PM","Underage individual became ill after consuming alcoholic beverages / transported to ER by CFD EMS","Referred","D00856",41.793328,-87.59757
"98","Domestic Battery","5640 S. University (Bartlett Commons)","9/27/14 10:38 PM","9/27/14 10:10 PM","Suspect threw coffee in the face of ex-girlfriend and fled before arrival of police / Victim received an order of protection, but declined to prosecute the offender","Ex. Cleared","D00857",41.792504,-87.59818
"99","Information","5639 S. University (Fraternity House)","9/26/14 4:55 PM","9/20/14 2:45 AM","Video camera attached to the front exterior of the building was taken / CPD case","CPD","D00850",41.792543,-87.598031
"100","Information","5639 S. University (Fraternity House)","9/26/14 4:55 PM","9/6/14 to 9/13/14 6:00 PM to 12:00 PM","Approximately 24 trophies taken from a room in the fraternity house / CPD case","CPD","D00851",41.792543,-87.598031
"101","Information","Blackstone between 56th & 57th","9/26/14 10:57 PM","9/26/14 10:50 PM","Three suspects, implying they had weapons, took cash from a victim walking on the sidewalk off campus / No weapons were seen /  CPD case HX444868","CPD","D00852",41.804251,-87.590539
"102","Liquor Law Violation","5700 S. University (Public Way)","9/25/14 12:10 AM","9/25/14 12:10 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00839",41.44552,-87.670892
"103","Theft","900 E. 57th St. (Knapp Center Bike Rack)","9/25/14 10:33 AM","9/24/14 7:00 AM to 10:00 PM","Unknown person took secured bicycle from the bike rack","Open","D00840",41.791364,-87.603741
"104","Deceptive Practice","5706 S. University (Reynolds Club)","9/25/14 12:43 PM","9/24/14 to 9/25/14 12:01 AM to 9:00 AM","Investigation of unlawful, unauthorized use of a website","Open","D00841",41.791316,-87.598148
"105","Non-Criminal Damage to Property","915 E. 60th St. (Logan Center)","9/25/14 2:31 PM","9/25/14 7:00 AM to 2:15 PM","Window near loading dock broken / Cause unknown at this time","Closed","D00842",41.785824,-87.603899
"106","Assist Other Agency","1534 E. Midway Pl.","9/25/14 1:52 PM","9/25/14 1:52 PM","UCPD officers observed an individual enter a parked vehicle and take a GPS device and other items / Suspect detained and turned over to CPD / CPD case HX442915","CPD","D00843",40.560601,-89.61115
"107","Possession of Cannabis","55th & Kimbark","9/25/14 6:25 PM","9/25/14 6:25 PM","UCPD officers arrested a subject for possession of cannabis","Arrest","D00844",41.808827,-87.595192
"108","Reckless Conduct","53rd & Ingleside","9/25/14 8:18 PM","9/25/14 8:18 PM","UCPD officers arrested a motorist after he struck another vehicle and fled on foot","Arrest","D00845",42.373157,-88.14978
"109","Theft","6100 S. Ingleside (Public Way)","9/25/14 10:09 PM","9/25/14 9:30 PM to 9:40 PM","Contract employee reported unknown person took backpack","Open","D00846",41.784093,-87.602768
"110","Medical Call","1101 E. 56th St.","9/25/14 10:05 PM","9/25/14 10:05 PM","Individual became ill after consuming marijuana at a party at an unknown location / Transported to ER by CFD EMS","Referred","D00847",41.793305,-87.599707
"111","Information","865 E. 61st St.","9/25/14 10:56 PM","9/25/14  6:00 PM to 9:35 PM","Owner found unknown white substance on door of vehicle parked on the street / Substance was removed","Closed","D00848",41.783995,-87.60501
"112","Damage to Vehicle","5840 S. Maryland (Parking Structure)","9/25/14 11:48 PM","9/25/14 9:00 AM to 11:30 PM","Owner found scratches on rear quarter panel of vehicle parked in the parking structure","Closed","D00849",41.788803,-87.604882
"113","Theft","1212 E. 59th St. (Ida Noyes)","9/24/14 11:20 AM","9/22/14 8:10 AM to 1:00 PM","Unknown person took victim's wallet / Follow up by UCPD Investigations Unit resulted in the identification of a suspect, but victim refused to prosecute / Ex. Cleared","Ex. Cleared","D00837",41.787881,-87.596225
"114","Theft","929 E. 57th St. (Gorden Center)","9/24/14 2:43 PM","9/23/14 to 9/24/14 8:00 PM to 2:05 PM","Laptop computer and other electronics taken from an unattended back pack","Open","D00838",41.957329,-87.653539
"115","Information","5550 S. University (Crown Field House)","9/23/14 6:20 AM","9/22/14 to 9/23/14 7:00 AM to 2:00 AM","Suspicious note found in building turned over to UCPD","Closed","D00829",41.794133,-87.598221
"116","Information","1147 E. 56th St.","9/23/14 10:41 AM","9/23/14 10:35 AM","Suspect grabbed iPad from a victim walking on the sidewalk off campus / CPD case HX439747","CPD","D00830",41.793174,-87.597947
"117","Medical Call","5530 S. Ellis (Ratner A.C.)","9/23/14 5:47 PM","9/23/14 5:45 PM","Individual suffering from an asthma attack transported to the ER by CFD EMS","Closed","D00831",41.794467,-87.601449
"118","Medical Call","5455 S. Blackstone (Neighborhood Apts.)","9/23/14 6:56 PM","9/23/14 6:55 PM","Injured person transported to ER by CFD EMS","Closed","D00832",41.796436,-87.590294
"119","Mental Health Transport","University between 57th & 58th","9/23/14 7:32 PM","9/23/14 7:30 PM","Individual transported to ER by CFD EMS for evaluation","Closed","D00833",41.863559,-87.64681
"120","Warrant Arrest","5900 S. Stony Island","9/23/14 9:40 PM","9/23/14 9:40 PM","Subsequent to a traffic stop, UCPD officers arrested a passenger in the vehicle for a warrant issued in Kane County, IL","Arrest","D00834",41.786392,-87.586601
"121","Information","5706 S. University (Reynolds Club)","9/13/14 10:12 PM","9/13/14 10:12 PM","Two individuals found on roof of the building / Sent on their way after a warning","Referred","D00836",41.791316,-87.598148
"122","Information","5615 S. University (Frat House)","9/22/14 3:33 AM","9/22/14 2:15 AM","Individual reported he was pushed to the floor by an unknown person while attending a party at a fraternity house","Closed","D00823",41.792989,-87.598041
"123","Criminal Trespass to Land","1407 E. 60th St. (CTS)","9/22/14 11:09 AM","9/22/14 1:45 AM to 4:45 AM","Unknown, unauthorized individual was seen trespassing in the building","Open","D00824",41.786022,-87.591221
"124","Injured Person","5841 S. Maryland (UCM  - Mothers Aid Research)","9/22/14 12:07 PM","9/22/14 8:30 AM","Individual fell on steps / Treated and released at ER","Closed","D00825",41.788784,-87.604882
"125","Harassment by Electronic Means","5845 S. Ellis (Gates-Blake Hall)","9/22/14 3:11 PM","9/21/14 to 9/22/14 3:30PM to 3:00 PM","Known person transmitted harassing e-mail messages","Open","D00826",41.788748,-87.601171
"126","Lost Property","5700 S. Maryland (CCD)","9/22/14 5:37 PM","9/18/14 to 9/22/14 4:00 PM to 7:45 PM","Patient reports losing wallet after transferring rooms","Closed","D00827",42.003129,-89.549033
"127","Theft","5730 S. Drexel (Comer)","9/22/14 8:40 AM","9/22/14 8:15 PM to 8:30 PM","Unknown person took iPad from patient's room","Open","D00828",41.790787,-87.603729
"128","Non-Criminal Damage to Property","6054 S. Drexel","9/20/14 8:33 AM","9/20/14 7:45 AM","Minor damage observed to side view mirror of UC owned vehicle / Cause unknown","Closed","D00819",41.784763,-87.604481
