"","Incident","Location","Reported","Occurred","Comments","Disposition","UCPDI#","latitude","longitude"
"344","Theft","1307 E. 60th St. (New Graduate RH)","6/23/14 1:47 PM","6/13/14 5:00 PM to 10:00 PM","Unattended iPod taken from desk in room / Suspect identified but victim declined to prosecute","Ex. Cleared","D00600",41.785991,-87.594493
"345","Warrant Arrest","5700 S. Hyde Park","6/22/14 12:38 AM","6/22/14 12:38 AM","Subsequent to a traffic stop, UCPD officer arrested a passenger in the vehicle for an active warrant from Cook County Sheriff's Office","Arrest","D00595",41.793419,-87.583907
"346","Information","5751 S. Woodlawn (Co-op Bookstore Parking Lot)","6/22/14 8:33 AM","6/22/14 8:20 AM","UC owned vehicle damaged as a result of a water covered pot hole","Closed","D00596",41.79051,-87.596363
"347","Possession of Cannabis","5500 S. Hyde Park","6/21/14 12:55 AM","6/21/14 12:50 AM","Subsequent to a traffic stop, UCPD officers arrested a motorist for possession of cannabis","Arrest","D00592",41.795228,-87.58395
"348","Information","5514 S. Blackstone (Graduate Student Housing)","6/21/14 4:09 AM","6/21/14 2:50 AM","Two interior banisters damaged between the 1st & 2nd floor of apartment building / Cause unknown","Closed","D00593",41.794583,-87.590399
"349","Assist Other Agency","5300 S. Drexel","6/21/14 11:46 AM","6/21/14 11:46 AM","UCPD officers detained a suspect wanted for investigation of a robbery by CPD / CPD case HX312902","CPD","D00594",41.798645,-87.603903
"350","Information","901 E. 58th St. (Mitchell ER)","6/20/14 1:37 AM","6/20/14 12:30 AM","Staff members complained of individual taking photographs with cell phone in emergency room / After a discussion, the individual agreed to desist and erased the photos from the phone","Closed","D00590",41.912085,-87.640506
"351","Lost Property","53rd between Blackstone & Harper","6/20/14 7:37 PM","6/20/14 3:00 PM to 7:30 PM","Individual reported losing cell phone / Phone was found in a  restaurant and returned to owner","Closed","D00591",41.804251,-87.590539
"352","Assist Other Agency","1453 E. 53rd St.","6/19/14 1:13 PM","6/19/14 1:13 PM","UCPD officer detained a shoplifting suspect for CPD / CPD case","CPD","D00585",41.799455,-87.590084
"353","Information","5630 S. University (Max Palevsky)","6/19/14 1:24 PM","6/18/14 11:30 PM","Staff member reported a suspicious individual attempted to gain entry to the building but was denied access without proper credentials","Closed","D00586",41.792689,-87.598183
"354","Theft","1100 E. 58th St. (Ryerson Bike Rack)","6/19/14 5:43 PM","6/19/14 10:30 AM to 5:30 PM","Secured bicycle taken from bike rack","Open","D00587",41.789593,-87.599176
"355","Injured Person","5530 S. Ellis (Ratner A.C.)","6/19/14 8:44 PM","6/19/14 8:30 PM","Individual playing basketball suffered injury to right eye / Escorted to ER by friends for treatment","Closed","D00588",41.794467,-87.601449
